ProductID,ProductName,Category,Supplier,UnitPrice,Stock
149,Product_149,Clothing,"Sweeney, Pittman and Gilbert",166.32,17
150,Product_150,Clothing,"Vasquez, Black and Hernandez",71.49,29
151,Product_151,Clothing,Ayers-Garcia,268.75,101
152,Product_152,Furniture,Miller and Sons,416.68,134
153,Product_153,Groceries,Banks-Carter,476.66,89
154,Product_154,Furniture,Lee-Miller,203.84,64
155,Product_155,Electronics,"Norman, Ward and Haley",61.7,128
156,Product_156,Groceries,Yang-Mcbride,151.1,136
157,Product_157,Clothing,Robinson LLC,266.7,170
158,Product_158,Groceries,Richardson and Sons,474.65,143
159,Product_159,Clothing,Smith Inc,224.06,139
160,Product_160,Furniture,"Tucker, Crawford and Crawford",360.52,23
161,Product_161,Electronics,"Houston, Hunter and Robbins",335.64,63
162,Product_162,Furniture,Garcia-Green,327.53,177
163,Product_163,Clothing,Peterson and Sons,313.31,117
164,Product_164,Furniture,Willis Inc,234.57,129
165,Product_165,Electronics,Williams Group,233.93,174
166,Product_166,Furniture,Webster LLC,206.57,12
167,Product_167,Groceries,Schultz-Russo,234.09,98
168,Product_168,Furniture,Thompson-Barnes,442.83,95
169,Product_169,Groceries,"Carr, Martin and Waller",115.14,106
170,Product_170,Furniture,Jacobs-Johnson,262.78,131
171,Product_171,Electronics,Powell-Cummings,217.34,79
172,Product_172,Furniture,Patterson Ltd,349.02,170
173,Product_173,Groceries,"Hudson, Williamson and Ingram",33.31,170
174,Product_174,Electronics,Contreras-Rocha,67.56,109
175,Product_175,Furniture,Caldwell-Holmes,94.99,185
176,Product_176,Clothing,Walsh LLC,260.25,157
177,Product_177,Groceries,Bennett LLC,39.68,92
178,Product_178,Groceries,"Fletcher, Barker and Stephens",418.05,44
179,Product_179,Furniture,Campbell and Sons,224.54,96
180,Product_180,Groceries,Keith-Johnson,303.97,200
181,Product_181,Electronics,Guzman-Gardner,120.24,113
182,Product_182,Furniture,Weber-Woods,216.82,18
183,Product_183,Electronics,Clark-Jackson,445.55,178
184,Product_184,Furniture,Garcia Ltd,300.53,103
185,Product_185,Groceries,Walker-Conway,474.11,40
186,Product_186,Furniture,"Munoz, Sanders and Burke",493.24,72
187,Product_187,Furniture,"Martin, Crawford and Murphy",84.29,133
188,Product_188,Furniture,Thompson-Gallagher,411.29,106
189,Product_189,Furniture,Lyons LLC,353.57,86
190,Product_190,Electronics,"Small, Cabrera and Byrd",360.06,169
191,Product_191,Groceries,Ross Ltd,31.35,87
192,Product_192,Furniture,Myers-Turner,242.43,189
193,Product_193,Clothing,Young PLC,386.98,63
194,Product_194,Clothing,Stone-Randolph,452.23,122
195,Product_195,Furniture,Floyd-Robertson,294.46,130
196,Product_196,Electronics,"Blevins, Gomez and Roy",319.23,83
197,Product_197,Furniture,Ruiz Group,24.52,176
198,Product_198,Furniture,"Stein, Ramirez and Mckay",18.78,165
199,Product_199,Groceries,Nixon-Boyd,169.05,17
