Date,Season,Home Team,Away Team,FTHG,FTAG,Winner,Points_H,Points_A,xG_H,xG_A,Poss_H,Poss_A
2000-09-16,2000,Sunderland,Derby,2,1,Sunderland,3,0,3.27,2.74,47.8,52.2
2000-09-17,2000,Chelsea,Leicester,0,2,Unknown,0,0,0.77,2.52,58.6,41.4
2000-09-17,2000,Man City,Middlesbrough,1,1,Unknown,0,0,1.09,0.51,57.4,42.6
2000-09-17,2000,West Ham,Liverpool,1,1,Unknown,0,0,0.64,1.3,47.5,52.5
2000-09-23,2000,Bradford,Southampton,0,1,Unknown,0,0,1.48,1.55,58.1,41.9
2000-09-23,2000,Coventry,West Ham,0,3,Unknown,0,0,1.67,1.07,49.1,50.9
2000-09-23,2000,Derby,Leeds,1,1,Unknown,0,0,1.31,1.0,46.2,53.8
2000-09-23,2000,Ipswich,Arsenal,1,1,Unknown,0,0,2.99,0.59,54.9,45.1
2000-09-23,2000,Liverpool,Sunderland,1,1,Unknown,0,0,1.57,2.11,54.8,45.2
2000-09-23,2000,Man United,Chelsea,3,3,Unknown,0,0,1.34,1.16,46.4,53.6
2000-09-23,2000,Middlesbrough,Aston Villa,1,1,Unknown,0,0,2.13,0.63,49.8,50.2
2000-09-23,2000,Newcastle,Charlton,0,1,Unknown,0,0,0.92,1.08,59.9,40.1
2000-09-23,2000,Tottenham,Man City,0,0,Unknown,0,0,2.91,2.5,55.2,44.8
2000-09-24,2000,Leicester,Everton,1,1,Unknown,0,0,0.72,2.63,56.0,44.0
2000-09-30,2000,Aston Villa,Derby,4,1,Aston Villa,3,0,3.46,1.71,48.2,51.8
2000-09-30,2000,Charlton,Coventry,2,2,Unknown,0,0,2.82,1.54,46.2,53.8
2000-09-30,2000,Everton,Ipswich,0,3,Unknown,0,0,1.1,2.94,49.2,50.8
2000-09-30,2000,Leeds,Tottenham,4,3,Leeds,3,0,0.52,1.0,48.7,51.3
2000-09-30,2000,Man City,Newcastle,0,1,Unknown,0,0,2.95,1.04,48.5,51.5
2000-09-30,2000,Southampton,Middlesbrough,1,3,Unknown,0,0,2.62,1.23,47.9,52.1
2000-09-30,2000,West Ham,Bradford,1,1,Unknown,0,0,2.69,0.93,53.6,46.4
2000-10-01,2000,Arsenal,Man United,1,0,Arsenal,3,0,2.81,1.45,49.9,50.1
2000-10-01,2000,Chelsea,Liverpool,3,0,Chelsea,3,0,0.72,2.78,57.3,42.7
2000-10-01,2000,Sunderland,Leicester,0,0,Unknown,0,0,1.58,2.04,47.8,52.2
2000-10-14,2000,Arsenal,Aston Villa,1,0,Arsenal,3,0,0.85,1.53,52.0,48.0
2000-10-14,2000,Coventry,Tottenham,2,1,Coventry,3,0,3.09,2.84,45.2,54.8
2000-10-14,2000,Everton,Southampton,1,1,Unknown,0,0,2.37,0.62,52.2,47.8
2000-10-14,2000,Ipswich,West Ham,1,1,Unknown,0,0,1.49,1.03,45.8,54.2
2000-10-14,2000,Leeds,Charlton,3,1,Leeds,3,0,0.69,1.91,59.7,40.3
2000-10-14,2000,Leicester,Man United,0,3,Unknown,0,0,1.43,2.04,56.9,43.1
2000-10-14,2000,Man City,Bradford,2,0,Man City,3,0,1.48,0.6,52.4,47.6
2000-10-14,2000,Sunderland,Chelsea,1,0,Sunderland,3,0,2.69,1.51,46.3,53.7
2000-10-15,2000,Derby,Liverpool,0,4,Unknown,0,0,2.41,2.12,53.9,46.1
2000-10-16,2000,Middlesbrough,Newcastle,1,3,Unknown,0,0,3.16,2.25,56.4,43.6
2000-10-21,2000,Bradford,Ipswich,0,2,Unknown,0,0,1.92,2.1,47.9,52.1
2000-10-21,2000,Charlton,Middlesbrough,1,0,Charlton,3,0,0.86,1.3,53.5,46.5
2000-10-21,2000,Chelsea,Coventry,6,1,Chelsea,3,0,2.64,0.73,57.2,42.8
2000-10-21,2000,Liverpool,Leicester,1,0,Liverpool,3,0,2.78,1.57,56.5,43.5
2000-10-21,2000,Man United,Leeds,3,0,Man United,3,0,2.18,0.82,57.0,43.0
2000-10-21,2000,Newcastle,Everton,0,1,Unknown,0,0,2.81,2.87,58.2,41.8
2000-10-21,2000,Tottenham,Derby,3,1,Tottenham,3,0,1.98,1.69,59.1,40.9
2000-10-21,2000,West Ham,Arsenal,1,2,Unknown,0,0,2.07,1.29,51.1,48.9
2000-10-22,2000,Aston Villa,Sunderland,0,0,Unknown,0,0,1.78,2.42,53.5,46.5
2000-10-23,2000,Southampton,Man City,0,2,Unknown,0,0,0.58,1.74,56.9,43.1
2000-10-28,2000,Arsenal,Man City,5,0,Arsenal,3,0,0.82,1.28,55.5,44.5
2000-10-28,2000,Aston Villa,Charlton,2,1,Aston Villa,3,0,0.59,2.53,59.9,40.1
2000-10-28,2000,Chelsea,Tottenham,3,0,Chelsea,3,0,2.41,2.67,45.2,54.8
2000-10-28,2000,Ipswich,Middlesbrough,2,1,Ipswich,3,0,1.44,2.18,50.3,49.7
2000-10-28,2000,Leicester,Derby,2,1,Leicester,3,0,2.03,0.62,49.2,50.8
2000-10-28,2000,Man United,Southampton,5,0,Man United,3,0,3.22,1.92,48.9,51.1
2000-10-28,2000,Sunderland,Coventry,1,0,Sunderland,3,0,1.25,2.41,48.3,51.7
2000-10-28,2000,West Ham,Newcastle,1,0,West Ham,3,0,1.73,0.84,55.6,44.4
2000-10-29,2000,Bradford,Leeds,1,1,Unknown,0,0,2.77,1.07,46.3,53.7
2000-10-29,2000,Liverpool,Everton,3,1,Liverpool,3,0,1.19,2.71,56.1,43.9
2000-11-04,2000,Charlton,Bradford,2,0,Charlton,3,0,0.73,0.55,55.4,44.6
2000-11-04,2000,Coventry,Man United,1,2,Unknown,0,0,1.37,2.38,48.8,51.2
2000-11-04,2000,Leeds,Liverpool,4,3,Leeds,3,0,0.98,1.68,48.8,51.2
2000-11-04,2000,Man City,Leicester,0,1,Unknown,0,0,3.29,1.62,54.4,45.6
2000-11-04,2000,Middlesbrough,Arsenal,0,1,Unknown,0,0,2.92,0.52,56.4,43.6
2000-11-04,2000,Newcastle,Ipswich,2,1,Newcastle,3,0,2.4,2.55,58.1,41.9
2000-11-04,2000,Southampton,Chelsea,3,2,Southampton,3,0,3.11,1.4,57.8,42.2
2000-11-04,2000,Tottenham,Sunderland,2,1,Tottenham,3,0,2.91,1.85,59.5,40.5
2000-11-05,2000,Everton,Aston Villa,0,1,Unknown,0,0,1.06,2.19,53.7,46.3
2000-11-06,2000,Derby,West Ham,0,0,Unknown,0,0,3.18,2.26,58.6,41.4
2000-11-11,2000,Arsenal,Derby,0,0,Unknown,0,0,2.12,2.89,57.1,42.9
2000-11-11,2000,Aston Villa,Tottenham,2,0,Aston Villa,3,0,2.92,1.83,58.4,41.6
2000-11-11,2000,Bradford,Everton,0,1,Unknown,0,0,3.19,1.5,45.2,54.8
2000-11-11,2000,Ipswich,Charlton,2,0,Ipswich,3,0,1.45,2.88,59.5,40.5
2000-11-11,2000,Leicester,Newcastle,1,1,Unknown,0,0,0.83,2.11,52.1,47.9
2000-11-11,2000,Man United,Middlesbrough,2,1,Man United,3,0,1.18,1.25,57.0,43.0
2000-11-11,2000,Sunderland,Southampton,2,2,Unknown,0,0,1.78,0.82,46.9,53.1
2000-11-11,2000,West Ham,Man City,4,1,West Ham,3,0,2.95,2.61,50.9,49.1
2000-11-12,2000,Chelsea,Leeds,1,1,Unknown,0,0,3.08,1.41,49.1,50.9
2000-11-12,2000,Liverpool,Coventry,4,1,Liverpool,3,0,0.52,2.15,49.4,50.6
2000-11-18,2000,Charlton,Chelsea,2,0,Charlton,3,0,2.03,1.68,46.8,53.2
2000-11-18,2000,Derby,Bradford,2,0,Derby,3,0,1.75,1.0,57.1,42.9
2000-11-18,2000,Everton,Arsenal,2,0,Everton,3,0,1.17,2.0,45.1,54.9
2000-11-18,2000,Leeds,West Ham,0,1,Unknown,0,0,0.86,0.65,49.7,50.3
2000-11-18,2000,Man City,Man United,0,1,Unknown,0,0,1.51,1.53,47.6,52.4
2000-11-18,2000,Middlesbrough,Leicester,0,3,Unknown,0,0,3.33,1.87,53.8,46.2
2000-11-18,2000,Newcastle,Sunderland,1,2,Unknown,0,0,1.47,1.59,48.8,51.2
2000-11-18,2000,Southampton,Aston Villa,2,0,Southampton,3,0,2.06,2.37,48.9,51.1
2000-11-19,2000,Tottenham,Liverpool,2,1,Tottenham,3,0,2.61,2.57,52.3,47.7
2000-11-20,2000,Coventry,Ipswich,0,1,Unknown,0,0,1.59,2.43,54.8,45.2
2000-11-25,2000,Charlton,Sunderland,0,1,Unknown,0,0,3.42,0.6,46.8,53.2
2000-11-25,2000,Coventry,Aston Villa,1,1,Unknown,0,0,3.39,0.99,47.6,52.4
2000-11-25,2000,Derby,Man United,0,3,Unknown,0,0,1.26,1.84,48.7,51.3
2000-11-25,2000,Everton,Chelsea,2,1,Everton,3,0,1.99,2.84,59.6,40.4
2000-11-25,2000,Man City,Ipswich,2,3,Unknown,0,0,1.4,2.59,51.0,49.0
2000-11-25,2000,Middlesbrough,Bradford,2,2,Unknown,0,0,1.35,2.61,54.0,46.0
2000-11-25,2000,Southampton,West Ham,2,3,Unknown,0,0,0.61,1.26,48.6,51.4
2000-11-25,2000,Tottenham,Leicester,3,0,Tottenham,3,0,2.33,1.57,52.4,47.6
2000-11-26,2000,Leeds,Arsenal,1,0,Leeds,3,0,2.01,1.68,46.1,53.9
2000-11-26,2000,Newcastle,Liverpool,2,1,Newcastle,3,0,0.65,0.89,45.5,54.5
2000-12-02,2000,Arsenal,Southampton,1,0,Arsenal,3,0,1.34,0.58,52.0,48.0
2000-12-02,2000,Aston Villa,Newcastle,1,1,Unknown,0,0,3.22,2.87,51.0,49.0
2000-12-02,2000,Bradford,Coventry,2,1,Bradford,3,0,1.22,1.1,47.1,52.9
2000-12-02,2000,Ipswich,Derby,0,1,Unknown,0,0,0.93,1.1,55.3,44.7
2000-12-02,2000,Leicester,Leeds,3,1,Leicester,3,0,1.97,0.71,59.9,40.1
2000-12-02,2000,Liverpool,Charlton,3,0,Liverpool,3,0,3.46,2.82,50.9,49.1
2000-12-02,2000,Man United,Tottenham,2,0,Man United,3,0,1.23,1.95,54.4,45.6
2000-12-02,2000,West Ham,Middlesbrough,1,0,West Ham,3,0,2.52,2.17,59.4,40.6
2000-12-03,2000,Chelsea,Man City,2,1,Chelsea,3,0,2.78,2.78,57.5,42.5
2000-12-04,2000,Sunderland,Everton,2,0,Sunderland,3,0,1.21,1.36,52.0,48.0
2000-12-09,2000,Arsenal,Newcastle,5,0,Arsenal,3,0,2.68,2.05,56.1,43.9
2000-12-09,2000,Bradford,Tottenham,3,3,Unknown,0,0,1.6,0.6,46.9,53.1
2000-12-09,2000,Charlton,Man United,3,3,Unknown,0,0,2.4,0.97,52.7,47.3
2000-12-09,2000,Chelsea,Derby,4,1,Chelsea,3,0,2.4,2.58,49.2,50.8
2000-12-09,2000,Man City,Everton,5,0,Man City,3,0,2.11,2.42,47.4,52.6
2000-12-09,2000,Southampton,Leeds,1,0,Southampton,3,0,0.77,1.38,51.4,48.6
2000-12-09,2000,Sunderland,Middlesbrough,1,0,Sunderland,3,0,3.01,1.44,47.0,53.0
2000-12-09,2000,West Ham,Aston Villa,1,1,Unknown,0,0,1.46,1.83,55.5,44.5
2000-12-10,2000,Coventry,Leicester,1,0,Coventry,3,0,1.06,0.5,51.8,48.2
2000-12-10,2000,Liverpool,Ipswich,0,1,Unknown,0,0,0.62,1.1,53.0,47.0
2000-12-16,2000,Aston Villa,Man City,2,2,Unknown,0,0,2.27,1.02,47.2,52.8
2000-12-16,2000,Derby,Coventry,1,0,Derby,3,0,2.53,1.13,47.1,52.9
2000-12-16,2000,Everton,West Ham,1,1,Unknown,0,0,0.55,2.51,53.8,46.2
2000-12-16,2000,Ipswich,Southampton,3,1,Ipswich,3,0,2.04,1.2,59.8,40.2
2000-12-16,2000,Leeds,Sunderland,2,0,Leeds,3,0,1.18,0.98,46.4,53.6
2000-12-16,2000,Leicester,Charlton,3,1,Leicester,3,0,2.44,1.76,49.3,50.7
2000-12-16,2000,Middlesbrough,Chelsea,1,0,Middlesbrough,3,0,1.02,2.66,58.0,42.0
2000-12-16,2000,Newcastle,Bradford,2,1,Newcastle,3,0,2.57,1.1,46.1,53.9
2000-12-17,2000,Man United,Liverpool,0,1,Unknown,0,0,1.66,0.7,58.1,41.9
2000-12-18,2000,Tottenham,Arsenal,1,1,Unknown,0,0,3.31,1.39,52.9,47.1
2000-12-22,2000,Coventry,Southampton,1,1,Unknown,0,0,0.91,2.37,51.1,48.9
2000-12-23,2000,Charlton,Everton,1,0,Charlton,3,0,1.52,1.88,49.6,50.4
2000-12-23,2000,Chelsea,Bradford,3,0,Chelsea,3,0,0.84,2.54,49.5,50.5
2000-12-23,2000,Derby,Newcastle,2,0,Derby,3,0,3.27,2.9,49.6,50.4
2000-12-23,2000,Leeds,Aston Villa,1,2,Unknown,0,0,3.13,2.48,58.3,41.7
2000-12-23,2000,Leicester,West Ham,2,1,Leicester,3,0,1.27,2.01,55.9,44.1
2000-12-23,2000,Liverpool,Arsenal,4,0,Liverpool,3,0,2.48,1.73,55.0,45.0
2000-12-23,2000,Man United,Ipswich,2,0,Man United,3,0,2.95,0.6,57.0,43.0
2000-12-23,2000,Sunderland,Man City,1,0,Sunderland,3,0,2.17,2.96,48.9,51.1
2000-12-23,2000,Tottenham,Middlesbrough,0,0,Unknown,0,0,2.09,1.46,54.3,45.7
2000-12-26,2000,Arsenal,Leicester,6,1,Arsenal,3,0,1.23,0.88,51.9,48.1
2000-12-26,2000,Aston Villa,Man United,0,1,Unknown,0,0,0.78,2.17,56.7,43.3
2000-12-26,2000,Bradford,Sunderland,1,4,Unknown,0,0,3.19,1.21,49.6,50.4
2000-12-26,2000,Everton,Coventry,1,2,Unknown,0,0,3.2,1.96,54.6,45.4
2000-12-26,2000,Ipswich,Chelsea,2,2,Unknown,0,0,2.4,1.97,58.2,41.8
2000-12-26,2000,Man City,Derby,0,0,Unknown,0,0,1.52,1.61,51.0,49.0
2000-12-26,2000,Middlesbrough,Liverpool,1,0,Middlesbrough,3,0,1.55,2.59,46.0,54.0
2000-12-26,2000,Newcastle,Leeds,2,1,Newcastle,3,0,2.68,1.16,52.7,47.3
2000-12-26,2000,West Ham,Charlton,5,0,West Ham,3,0,3.19,1.62,50.2,49.8
2000-12-27,2000,Southampton,Tottenham,2,0,Southampton,3,0,3.16,1.84,55.1,44.9
2000-12-30,2000,Arsenal,Sunderland,2,2,Unknown,0,0,2.84,2.16,59.3,40.7
2000-12-30,2000,Ipswich,Tottenham,3,0,Ipswich,3,0,2.43,2.46,52.3,47.7
2000-12-30,2000,Man City,Charlton,1,4,Unknown,0,0,0.75,1.49,52.0,48.0
2000-12-30,2000,Middlesbrough,Coventry,1,1,Unknown,0,0,0.98,2.12,54.8,45.2
2000-12-30,2000,Newcastle,Man United,1,1,Unknown,0,0,3.2,0.88,46.6,53.4
2000-12-30,2000,Southampton,Derby,1,0,Southampton,3,0,2.32,2.83,48.8,51.2
2001-01-01,2001,Charlton,Arsenal,1,0,Charlton,3,0,0.53,1.46,58.8,41.2
2001-01-01,2001,Chelsea,Aston Villa,1,0,Chelsea,3,0,0.8,2.32,55.0,45.0
2001-01-01,2001,Coventry,Man City,1,1,Unknown,0,0,2.49,0.55,45.2,54.8
2001-01-01,2001,Derby,Everton,1,0,Derby,3,0,0.52,1.01,48.1,51.9
2001-01-01,2001,Leeds,Middlesbrough,1,1,Unknown,0,0,0.98,1.72,55.2,44.8
2001-01-01,2001,Leicester,Bradford,1,2,Unknown,0,0,2.15,2.7,56.5,43.5
2001-01-01,2001,Liverpool,Southampton,2,1,Liverpool,3,0,2.58,1.82,57.6,42.4
2001-01-01,2001,Man United,West Ham,3,1,Man United,3,0,2.46,2.82,49.4,50.6
2001-01-01,2001,Sunderland,Ipswich,4,1,Sunderland,3,0,1.17,1.71,59.0,41.0
2001-01-02,2001,Tottenham,Newcastle,4,2,Tottenham,3,0,2.64,1.73,53.3,46.7
2001-01-13,2001,Arsenal,Chelsea,1,1,Unknown,0,0,1.21,0.8,55.4,44.6
2001-01-13,2001,Aston Villa,Liverpool,0,3,Unknown,0,0,1.48,2.51,54.0,46.0
2001-01-13,2001,Bradford,Man United,0,3,Unknown,0,0,2.74,1.12,46.8,53.2
2001-01-13,2001,Everton,Tottenham,0,0,Unknown,0,0,2.45,2.75,59.4,40.6
2001-01-13,2001,Man City,Leeds,0,4,Unknown,0,0,3.05,2.78,46.8,53.2
2001-01-13,2001,Middlesbrough,Derby,4,0,Middlesbrough,3,0,2.47,2.86,48.8,51.2
2001-01-13,2001,Newcastle,Coventry,3,1,Newcastle,3,0,2.2,1.8,57.2,42.8
2001-01-13,2001,Southampton,Charlton,0,0,Unknown,0,0,0.78,2.19,54.3,45.7
2001-01-13,2001,West Ham,Sunderland,0,2,Unknown,0,0,1.6,2.45,57.6,42.4
2001-01-14,2001,Ipswich,Leicester,2,0,Ipswich,3,0,1.3,0.83,52.7,47.3
2001-01-20,2001,Chelsea,Ipswich,4,1,Chelsea,3,0,1.23,2.0,50.7,49.3
2001-01-20,2001,Coventry,Everton,1,3,Unknown,0,0,3.42,0.59,58.8,41.2
2001-01-20,2001,Derby,Man City,1,1,Unknown,0,0,1.68,1.74,45.5,54.5
2001-01-20,2001,Leeds,Newcastle,1,3,Unknown,0,0,3.18,0.89,57.8,42.2
2001-01-20,2001,Leicester,Arsenal,0,0,Unknown,0,0,2.39,0.96,48.5,51.5
2001-01-20,2001,Liverpool,Middlesbrough,0,0,Unknown,0,0,2.88,1.41,57.7,42.3
2001-01-20,2001,Man United,Aston Villa,2,0,Man United,3,0,2.01,1.58,47.1,52.9
2001-01-20,2001,Tottenham,Southampton,0,0,Unknown,0,0,2.23,2.06,53.7,46.3
2001-01-21,2001,Sunderland,Bradford,0,0,Unknown,0,0,1.98,0.69,58.3,41.7
2001-01-22,2001,Charlton,West Ham,1,1,Unknown,0,0,1.09,1.76,52.1,47.9
2001-01-24,2001,Aston Villa,Leeds,1,2,Unknown,0,0,2.67,0.96,56.2,43.8
2001-01-30,2001,Arsenal,Bradford,2,0,Arsenal,3,0,1.34,1.93,57.1,42.9
2001-01-30,2001,Charlton,Derby,2,1,Charlton,3,0,0.57,2.09,56.0,44.0
2001-01-31,2001,Chelsea,Newcastle,3,1,Chelsea,3,0,2.44,1.89,58.9,41.1
2001-01-31,2001,Everton,Middlesbrough,2,2,Unknown,0,0,1.03,2.35,51.7,48.3
2001-01-31,2001,Leeds,Coventry,1,0,Leeds,3,0,3.32,1.34,47.6,52.4
2001-01-31,2001,Man City,Liverpool,1,1,Unknown,0,0,3.36,2.41,45.7,54.3
2001-01-31,2001,Southampton,Leicester,1,0,Southampton,3,0,3.24,1.58,48.7,51.3
2001-01-31,2001,Sunderland,Man United,0,1,Unknown,0,0,1.61,1.71,47.1,52.9
2001-01-31,2001,West Ham,Tottenham,0,0,Unknown,0,0,0.55,2.12,53.4,46.6
2001-02-03,2001,Bradford,Aston Villa,0,3,Unknown,0,0,3.28,0.55,47.8,52.2
2001-02-03,2001,Coventry,Arsenal,0,1,Unknown,0,0,1.78,2.13,45.6,54.4
2001-02-03,2001,Derby,Sunderland,1,0,Derby,3,0,3.4,2.05,45.5,54.5
2001-02-03,2001,Ipswich,Leeds,1,2,Unknown,0,0,3.39,1.27,57.5,42.5
2001-02-03,2001,Leicester,Chelsea,2,1,Leicester,3,0,3.06,0.71,53.9,46.1
2001-02-03,2001,Liverpool,West Ham,3,0,Liverpool,3,0,1.38,0.73,50.4,49.6
2001-02-03,2001,Man United,Everton,1,0,Man United,3,0,1.66,2.81,58.4,41.6
2001-02-03,2001,Middlesbrough,Man City,1,1,Unknown,0,0,3.05,2.22,46.1,53.9
2001-02-03,2001,Tottenham,Charlton,0,0,Unknown,0,0,1.45,0.82,59.7,40.3
2001-02-07,2001,Everton,Leeds,2,2,Unknown,0,0,1.01,1.39,54.2,45.8
2001-02-10,2001,Arsenal,Ipswich,1,0,Arsenal,3,0,2.17,1.98,47.8,52.2
2001-02-10,2001,Aston Villa,Middlesbrough,1,1,Unknown,0,0,3.31,2.59,55.2,44.8
2001-02-10,2001,Chelsea,Man United,1,1,Unknown,0,0,2.59,0.61,56.5,43.5
2001-02-10,2001,Everton,Leicester,2,1,Everton,3,0,2.21,1.09,51.4,48.6
2001-02-10,2001,Leeds,Derby,0,0,Unknown,0,0,0.79,2.72,57.9,42.1
2001-02-10,2001,Man City,Tottenham,0,1,Unknown,0,0,2.35,0.52,47.3,52.7
2001-02-10,2001,Southampton,Bradford,2,0,Southampton,3,0,3.47,1.0,49.2,50.8
2001-02-10,2001,Sunderland,Liverpool,1,1,Unknown,0,0,0.92,2.9,46.4,53.6
2001-02-11,2001,Charlton,Newcastle,2,0,Charlton,3,0,2.05,2.03,48.2,51.8
2001-02-12,2001,West Ham,Coventry,1,1,Unknown,0,0,3.13,1.15,48.6,51.4
2001-02-24,2001,Bradford,West Ham,1,2,Unknown,0,0,2.72,0.67,58.8,41.2
2001-02-24,2001,Coventry,Charlton,2,2,Unknown,0,0,2.59,0.57,46.2,53.8
2001-02-24,2001,Derby,Aston Villa,1,0,Derby,3,0,2.61,1.11,51.4,48.6
2001-02-24,2001,Ipswich,Everton,2,0,Ipswich,3,0,1.58,2.7,53.0,47.0
2001-02-24,2001,Leicester,Sunderland,2,0,Leicester,3,0,1.38,1.54,58.5,41.5
2001-02-24,2001,Middlesbrough,Southampton,0,1,Unknown,0,0,2.93,2.3,60.0,40.0
2001-02-24,2001,Newcastle,Man City,0,1,Unknown,0,0,2.93,2.8,56.3,43.7
2001-02-24,2001,Tottenham,Leeds,1,2,Unknown,0,0,3.1,1.52,59.6,40.4
2001-02-25,2001,Man United,Arsenal,6,1,Man United,3,0,3.24,0.98,56.8,43.2
2001-03-03,2001,Arsenal,West Ham,3,0,Arsenal,3,0,2.03,1.79,59.4,40.6
2001-03-03,2001,Coventry,Chelsea,0,0,Unknown,0,0,2.0,2.77,55.6,44.4
2001-03-03,2001,Derby,Tottenham,2,1,Derby,3,0,2.89,2.51,46.2,53.8
